id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
886933	0000000000000000000082a9a61f1c950b76c649fe5da6caf30919b2c051959b	2025-03-09 00:01:11	2025-03-08 23:19:17	2033212	653500	3993712	837197824	31e6a000	110001111001101010000000000000	7e3199501d88d3ea412379fb11aeb352c430d738c3710c27711407ac2ac796ff	1513112209	386042801	110568428300950	0000000000000000000000000000000000000000b3248e11a6eacd1806a296f4	0395880d194d696e656420627920416e74506f6f6c204d002803f490fdb8fabe6d6d0880f96588889297834ec5a27744510990c79f427ae9dd442ad90640335f3dd30800000000000000000050f69a1a000000000000	355	334	13310	969	40855930670	35195752	41168430670	35464956	1397367	1203.7758	687.4411	0.5918	350.05902	0.3015	3608.1734708487	312500000	269206.25	313897367	270410.0312	AntPool
886934	00000000000000000000e926178bdebc58b71464d50883c85eee2006e427ccda	2025-03-09 00:08:21	2025-03-08 23:21:55	1855279	712738	3993493	850493440	32b18000	110010101100011000000000000000	62d6530952d210323651a204547a9e46b1a1bd8edd1c346d607d429c9abd192b	1874636380	386042801	110568428300950	0000000000000000000000000000000000000000b324f2a1c35f54253f9964c2	0396880d182f5669614254432f4d696e656420627920746172617a342f2cfabe6d6d86157c33abc0df68702e4c017ab91e9f9068830d50ffb993b61696e44a947fdd100000000000000010d45b2f01e7775a558364f2540700000000000000	1394	1265	11381	4229	439944734862	378994784	440257234862	379264000	2063804	1777.8846	1112.6516	0.9588	516.99884	0.4454	6864.4191314993	312500000	269206.25	314563804	270984.125	ViaBTC
886935	0000000000000000000213fa61904552df52b9f93ceadaa2578ea064fea81d22	2025-03-09 01:05:33	2025-03-08 23:41:40	1454935	846169	3993442	739459072	2c134000	101100000100110100000000000000	09c830ae34bb589fcee065d7de48bc225dc26dbb428fd120f2527c841d5ff5e0	2054317272	386042801	110568428300950	0000000000000000000000000000000000000000b3255731dfd3db3278903290	0397880d1d506f7765726564206279204c75786f72205465636868006b020b958982fabe6d6dae8898d372c9f63f3dcd7407f0ca6182c439922c6a4234c1266f6827ba8c75a810000000000000000000ef520041da0400000000	3388	2953	6242	12772	2772639916501	2388518400	2772952416501	2388787712	7144562	6154.7544	4912.1885	4.2315	1789.884	1.542	49004.089706454	312500000	269206.25	319644562	275361	Unknown
886936	00000000000000000001b1dd6bb797d894a8556c615ccc0644976f1b9599731f	2025-03-09 01:15:49	2025-03-08 23:42:58	1486622	835606	3993440	771751936	2e000000	101110000000000000000000000000	2a85943cb1cd7a577625a175f86fdfef0194da8f6a9a5019af72ab402756e2ee	3491656714	386042801	110568428300950	0000000000000000000000000000000000000000b325bbc1fc48623fb187005e	0398880d20202020204d696e656420627920536563706f6f6c20202020700019010f41d5e1fabe6d6d03f77c932911e0d293e0d68e7bc3f129e7b2cbcc29df70f2aa3a1f5d670e2f97100000000000000028a4000090992100	3438	3138	7691	8516	577540054509	497527648	577852554509	497796864	3876188	3339.1809	2608.2183	2.2467	971.0775	0.8365	21636.447439382	312500000	269206.25	316376188	272545.4375	Unknown
886937	000000000000000000018f5743449471b74a99d72cdbad6b2e2e4d2d943a98df	2025-03-09 01:23:17	2025-03-08 23:59:46	1685095	769582	3993841	538214400	20148000	100000000101001000000000000000	becb3a1327a28ae9cb6884038c66ffd07b84c8b85f1bd60ac1920bd8dcb072be	1530443847	386042801	110568428300950	0000000000000000000000000000000000000000b326205218bce94cea7dce2c	0399880d1b4d696e656420627920416e74506f6f6c3837333a00010311ee43a1fabe6d6ddb76486d1008683df0e4a582f78946fe8e0de023c7292144b076713df54172e81000000000000000b1f90000f398000000000000	2944	2773	8400	9476	387945420624	334199456	388257920624	334468672	2995864	2580.8169	1778.3947	1.5317	750.481	0.6461	226425.36726054	312500000	269206.25	315495864	271787.0625	AntPool
886938	000000000000000000001aadb854e27e169d93d103115c8f47f6b64c3fa3d60d	2025-03-09 01:29:17	2025-03-09 00:01:11	1312583	893632	3993479	671088640	28000000	101000000000000000000000000000	de99e38c6705abf07f442493dfcb8153909cb80de0ac7ea4c813b5692b8963fc	3616075983	386042801	110568428300950	0000000000000000000000000000000000000000b32684e23531705a23749bfa	039a880d04eeeecc672f466f756e6472792055534120506f6f6c202364726f70676f6c642f195462433f01510000000000	1324	1194	7012	5576	187806106540	161787456	188118606540	162056656	2181756	1879.4955	1662.768	1.4326	546.5667	0.4712	4253.1574289098	312500000	269206.25	314681756	271085.75	Foundry USA Pool
886939	00000000000000000001a8db02b14e9b2a9791ddbc607b4d8fabdd294aed6b4b	2025-03-09 01:33:02	2025-03-09 00:08:21	1210363	929163	3997852	838860800	32000000	110010000000000000000000000000	e7cba931d42b011f5c8990e5b59bbc4712f8503aec89baba7e9d6d74b9daf0bc	50223371	386042801	110568428300950	0000000000000000000000000000000000000000b326e97251a5f7675c6b69c8	039b880d2cfabe6d6d7f1cd43626eddd789737c17748b3cef15eb3ebf07ab5a7e10f31bc7f26cd191210000000f09f909f092f4632506f6f6c2f6400000000000000000000000000000000000000000000000000000000000000000000000500769a9a39	872	799	7119	2894	294830815772	253984960	295143315772	254254160	1753351	1510.4418	1449.2959	1.2483	438.8108	0.3782	5019.023054499	312500000	269206.25	314253351	270716.6875	F2Pool
886940	000000000000000000016759a3082922a6731285456c0aba4344bf7723ac99c8	2025-03-09 01:49:57	2025-03-09 01:05:33	1592594	800400	3993794	537133056	20040000	100000000001000000000000000000	efa94bbefda644fb81f667274974854f47ca909d00ad4b475f866bc48e4466ae	1087534435	386042801	110568428300950	0000000000000000000000000000000000000000b3274e026e1a7e7495623796	039c880d1b4d696e656420627920416e74506f6f6c3830369c008e011b77cd1bfabe6d6ddb7828322721f253870de2a9cba15ad78959e7d2bd2272e38f6a11283d4c7f431000000000000000f3c700004017010000000000	2277	2080	8769	7153	264343482867	227721344	264655982867	227990544	2723199	2345.927	1710.4576	1.4731	682.18494	0.5875	35351.86538113	312500000	269206.25	315223199	271552.1875	AntPool
886941	000000000000000000000c9e3f74b7d534449bcd1f76550864003d0141631bdc	2025-03-09 02:09:06	2025-03-09 01:15:49	1442615	850367	3993716	609091584	244e0000	100100010011100000000000000000	817f4517c9410743c4ef9402437994c7de6d20a34804153278eee080f660e644	1282789757	386042801	110568428300950	0000000000000000000000000000000000000000b327b2928a8f0581ce590564	039d880d0443f8cc672f466f756e6472792055534120506f6f6c202364726f70676f6c642f3d2ad6d3c89f010000000000	2686	2488	7427	8402	350700058721	302114080	351012558721	302383264	3102336	2672.5383	2151.1807	1.853	777.1414	0.6694	7886.2538145761	312500000	269206.25	315602336	271878.7812	Foundry USA Pool
886942	000000000000000000001e9d9a7a9cf7994d1d013749a43f5f7a56b122b34fdf	2025-03-09 02:11:18	2025-03-09 01:23:17	1984456	669805	3993871	536870912	20000000	100000000000000000000000000000	e33a9036a195fba1e7cea1cbe3eae21f7ed6266000a7fb5d69b9571fa3232348	77510471	386042801	110568428300950	0000000000000000000000000000000000000000b3281722a7038c8f074fd332	039e880d194d696e656420627920416e74506f6f6c20140188042319e9d6fabe6d6dbfc650d1f6dee7e51f5ff07d812c5015afb94b58859e51d531101ad8508a61c4100000000000000063930000bc83000000000000	477	418	13013	1265	35819506167	30857072	36132006167	31126278	1557503	1341.7266	785.0507	0.6762	390.15967	0.336	2568.0002570045	312500000	269206.25	314057503	270547.9688	AntPool
886943	000000000000000000004761dcb93305970843097a33521ecc5af2594d1d89ad	2025-03-09 02:32:13	2025-03-09 01:29:17	1446015	849180	3993555	677806080	28668000	101000011001101000000000000000	27e47ccb90546babce2fa9a69c6b477cb26603c4e9a6fba0196c5ac351539c2e	1581909292	386042801	110568428300950	0000000000000000000000000000000000000000b3287bb2c378139c4046a100	039f880d115768697465506f6f6c14003f032a955526fabe6d6d4e7f0a80f95e7c9242bca38b0ac840ed34c9d91c8fdb80cfb51b8db4fd5379c0100000000000000000006883aac9010000000000	2810	2539	7442	8955	851227517272	733298432	851540017272	733567680	3449474	2971.584	2386.2214	2.0554	864.11334	0.7443	10681.91484289	312500000	269206.25	315949474	272177.8438	Unknown
886944	00000000000000000000d4716bfe32ae28d026013a0b37d300e1fc2773e7b18d	2025-03-09 02:46:46	2025-03-09 01:33:02	1560719	810782	3993065	640229376	26292000	100110001010010010000000000000	4b4d35136d37dd4471af860149a627af8ff9a929d59960d18f960ba186eb058b	2739442049	386042801	110568428300950	0000000000000000000000000000000000000000b328e042dfec9aa9793d6ece	03a0880d04fd00cd677c204d415241204d61646520696e2055534120f09f87baf09f87b8207c763032fabe6d6d97b93d9a8e92e46829b9a85c3a019db45492b4e9d28a13504b239c671b772eb7010000000000000012d14f3e200000000000ffffffff	2125	1953	8432	6918	212720689917	183250368	213033189917	183519568	3150523	2714.0496	2019.0884	1.7393	789.254	0.6797	39505.633036147	312500000	269206.25	315650523	271920.3125	Unknown
886945	00000000000000000000b2614dfc8d23366d04559fbbb66bc47eda176955e106	2025-03-09 02:47:07	2025-03-09 01:49:57	1798904	731526	3993482	671883264	280c2000	101000000011000010000000000000	000fdc651d9d51402186653da1f33512d87c2bfb6013cb55b393f5b9664279a0	1028660242	386042801	110568428300950	0000000000000000000000000000000000000000b32944d2fc6121b6b2343c9c	03a1880d041b01cd672f466f756e6472792055534120506f6f6c202364726f70676f6c642f395a0898f18d000000000000	124	114	11962	281	11751981782	10123862	12064481782	10393068	1165098	1003.6853	647.83594	0.5582	291.87592	0.2515	759.6655843944	312500000	269206.25	313665098	270209.9375	Foundry USA Pool
886946	000000000000000000025589bb2bceb391f2e181ce11977d471ce78b2cf651e6	2025-03-09 02:48:30	2025-03-09 02:09:06	2091120	634076	3993348	538198016	20144000	100000000101000100000000000000	70fa98fb826b0cd03367efbbe727187402a2c968c83983b6e87a7750265df705	1217861892	386042801	110568428300950	0000000000000000000000000000000000000000b329a96318d5a8c3eb2b0a6a	03a2880d047e01cd672f466f756e6472792055534120506f6f6c202364726f70676f6c642f4afdbed87637010000000000	356	332	14236	988	29915587386	25771082	30228087386	26040288	1252513	1078.9899	599.0993	0.516	313.78595	0.2705	1695.5898066434	312500000	269206.25	313752513	270285.25	Foundry USA Pool
886947	000000000000000000023a67615c50946c0892e9c674b461a7f748d0a64a0642	2025-03-09 02:51:41	2025-03-09 02:11:18	1938400	685065	3993595	805306368	30000000	110000000000000000000000000000	a02a913bd317aa0a68e9ad47c42580ebb5099c356bb338f974e0e01d1bf579ac	3163052751	386042801	110568428300950	0000000000000000000000000000000000000000b32a0df3354a2fd12421d838	03a3880d192f5669614254432f4d696e65642062792066657267616e612f2cfabe6d6da660c27e4ce5743c175672c176f083db81c73daf59e89953124f9f340baf5b7e100000000000000010875e1805a7983a548b8f68b92d07090000000000	649	607	13013	2151	60775565698	52355720	61088065698	52624924	1410866	1215.4047	728.01154	0.6271	353.42413	0.3041	1030.9874231373	312500000	269206.25	313910866	270421.6562	ViaBTC
886948	0000000000000000000065d7b1c6c1cc5343dbaa6a9cc1b075fe837ae0bd3852	2025-03-09 03:03:32	2025-03-09 02:32:13	1765130	744337	3998141	543162368	20600000	100000011000000000000000000000	f02dad2b5cc00caea9af29dc206e4dd9d04c38aa7b2fe8626fd61826dd570aaa	2808075857	386042801	110568428300950	0000000000000000000000000000000000000000b32a728351beb6de5d18a606	03a4880d2cfabe6d6dc4967d73d9b47c8cd344e8ae4ec84395472f936c2f5bd09729aaa78e20ed88fb10000000f09f909f092f4632506f6f6c2f6400000000000000000000000000000000000000000000000000000000000000000000000500644790f0	1847	1738	9795	5336	359436397767	309640064	359748897767	309909280	2566166	2210.6494	1454.2793	1.2526	642.1874	0.5531	7442.1791480281	312500000	269206.25	315066166	271416.9062	F2Pool
886949	00000000000000000001b0e4b921c688530c0b49bf5e2afd0e2ba87c77057955	2025-03-09 03:05:30	2025-03-09 02:46:46	2135344	619408	3993568	536977408	2001a000	100000000000011010000000000000	88db61d0b9f8f6fa22830570f5549fe5b1133f0de21f528186609fb23ef56175	4105289152	386042801	110568428300950	0000000000000000000000000000000000000000b32ad7136e333deb960f73d4	03a5880d047b05cd672f466f756e6472792055534120506f6f6c202364726f70676f6c642f16c1751ee7a0020000000000	280	268	13878	767	20608337934	17753258	20920837934	18022466	1207552	1040.2577	565.62885	0.4876	302.5054	0.261	58.718416828113	312500000	269206.25	313707552	270246.5	Foundry USA Pool
886950	0000000000000000000220aab15d048deed1f9a4e2ff0b6a3f9d07a1295cc135	2025-03-09 03:05:52	2025-03-09 02:47:07	338	338	1352	683982848	28c4c000	101000110001001100000000000000	06d44399fb0c5fcd4393f50ddc92fbfce2596d09af0539c40916bc58bbd4ea32	3835843733	386042801	110568428300950	0000000000000000000000000000000000000000b32b3ba38aa7c4f8cf0641a2	03a6880d049305cd67537069646572506f6f6c2f55533636363636362ffabe6d6d141121fdebba7b1e89a5b96be4c9b52d6a4c1b737cb29b3083e4671b23d906280100000000000000e42df40f05138d596601000000000000	1	0	1	3	0	0	312500000	269206.25	0	0	0	0	0	0	0	312500000	269206.25	312500000	269206.25	SpiderPool
886951	00000000000000000001d2b99a397650ae89ef6c999e75aca32eb061bb2a3424	2025-03-09 03:12:55	2025-03-09 02:48:30	1656565	779016	3993613	537698304	200ca000	100000000011001010000000000000	f184916bfcdbf53d0d2c9070c5fa242e8784478b5bfbe57a25365994cae1b4cf	2467917881	386042801	110568428300950	0000000000000000000000000000000000000000b32ba033a71c4c0607fd0f70	03a7880d1c4d696e656420627920416e74506f6f6c3937304d004b0339233d2a01fabe6d6de35975a19c97227e238b415427e81ce32fcc76162440771783142c78e7dda8d608000000000000000000aca1e493000000000000	1096	1027	12030	4051	315310801121	271627648	315623301121	271896864	6606351	5691.1069	3989.2026	3.4364	1655.0248	1.4257	12280.629498603	312500000	269206.25	319106351	274897.3438	AntPool
886952	00000000000000000001ad82ae250b92f9e37df66b9715e56eca7320909bfeed	2025-03-09 03:14:51	2025-03-09 02:51:41	2075998	640713	3998137	620756992	25000000	100101000000000000000000000000	027e6de75c95f0dbf31dc3ae3ea7eee89f638e2a094c84118f8739ab42d0506d	526586064	386042801	110568428300950	0000000000000000000000000000000000000000b32c04c3c390d31340f3dd3e	03a8880d2cfabe6d6dd5bb069f3029febba55a5376b9e061dec47ae03c49642936029b36a392ba15bb10000000f09f909f092f4632506f6f6c2f6400000000000000000000000000000000000000000000000000000000000000000000000500021b9b99	452	416	14189	1279	17672064137	15223776	17984564137	15492983	1266874	1091.3613	610.41516	0.5255	317.0377	0.2731	369.69310867306	312500000	269206.25	313766874	270297.625	F2Pool
886953	00000000000000000001d911f5df5d3e2bc43792ff7fed8082edacd3b35a4c4b	2025-03-09 03:32:35	2025-03-09 03:03:32	1446627	848899	3993324	536895488	20006000	100000000000000110000000000000	98fb6868c8f6d979581550e9f966f466c928d8c8efabfb46e263bc43f5aa8f4c	1554273069	386042801	110568428300950	0000000000000000000000000000000000000000b32c6953e0055a2079eaab0c	03a9880d115768697465506f6f6c14007002402af9c7fabe6d6d0061b60ee26e827ca4d0bb33ac0d86fc6cd37becac323b4a3d6f903fb78d3c92100000000000000000001430a083010000000000	2103	1985	7104	9931	293574120619	252902368	293886620619	253171568	3049202	2626.7656	2108.435	1.816	763.8871	0.6582	9377.7998451739	312500000	269206.25	315549202	271833	Unknown
886954	0000000000000000000193f8edb820e21dae6815f8231ee0ad00c1af97c64bb5	2025-03-09 03:36:12	2025-03-09 03:05:30	1801467	730685	3993522	654360576	2700c000	100111000000001100000000000000	45d78c15805fa5d608735f658e1b187b7978c0d32dc90c564c506fd88f1cad85	2367241263	386042801	110568428300950	0000000000000000000000000000000000000000b32ccde3fc79e12db2e178da	03aa880d194d696e656420627920416e74506f6f6c20b900390040dc2908fabe6d6d1921c9aaeda5f6c9ea5d23157b2853a5be57889c81b16aa49fd97666c1da1ac410000000000000000000e85f0000000000000000	517	495	14824	1545	31449106773	27092148	31761606773	27361354	1265452	1090.1362	702.65295	0.6056	317.02765	0.2731	507.95131442791	312500000	269206.25	313765452	270296.375	AntPool
886955	0000000000000000000068f6ec711b25b8b6abf79cdbfe6749245382e964a5f2	2025-03-09 03:48:22	2025-03-09 03:05:52	1410251	861044	3993383	704643072	2a000000	101010000000000000000000000000	ff89f6d516dcdf422685c7f6722d0c2ec950a5cf09fa753df439eb9e06bd30f4	2709613295	386042801	110568428300950	0000000000000000000000000000000000000000b32d327418ee683aebd846a8	03ab880d04860fcd672f466f756e6472792055534120506f6f6c202364726f70676f6c642f044cb0630000005436906d00	2085	1961	6674	10439	393573959426	339048224	393886459426	339317440	2945383	2537.3296	2089.234	1.7996	737.8859	0.6358	47788.937641003	312500000	269206.25	315445383	271743.5938	Foundry USA Pool
886956	000000000000000000020361ffd7bbff73d9a6092fbe424033dc17dca2f64faf	2025-03-09 03:49:34	2025-03-09 03:12:55	2169649	607956	3993517	723091456	2b198000	101011000110011000000000000000	e9b7cc6881a0e7ffbe5b9105b516e4854455fd6ed3efc24338e4e8550dfea809	2887459196	386042801	110568428300950	0000000000000000000000000000000000000000b32d97043562ef4824cf1476	03ac880d194d696e656420627920416e74506f6f6c209c000b06463dcb82fabe6d6df2ce10293bc1d72725e8e80824e764e10367cf090df37941724e9b4a8e8049ce10000000000000003fd10000ba11000000000000	475	463	13858	837	4501290561	3877681.75	4813790561	4146888	1104330	951.3361	509.10843	0.4385	276.66287	0.2386	73.135449745091	312500000	269206.25	313604330	270157.5938	AntPool
886957	0000000000000000000220cac912e6105a37365585c8b20bc2837f2fd8450811	2025-03-09 03:51:01	2025-03-09 03:14:51	2033718	653309	3993645	629768192	25898000	100101100010011000000000000000	5badc2c143dddbedfd4b20fe30098da1c762c94be344e3208b31e3be7ac2f443	3748217188	386042801	110568428300950	0000000000000000000000000000000000000000b32dfb9451d776555dc5e244	03ad880d042510cd672f466f756e6472792055534120506f6f6c202364726f70676f6c642f112e5629f103000000000000	358	334	13506	976	29148151060	25109966	29460651060	25379172	1173772	1011.1577	577.2863	0.4971	294.03748	0.2533	5869.3696220691	312500000	269206.25	313673772	270217.4062	Foundry USA Pool
